Question,Answer1,Result1,Answer2,Result2,Answer3,Result3
"A bad rep spreads like wildfire. If I were you, I'd quit all this nonsense. What's the point?","You're right.",2333,"I don't care.",3002,"I don't know any other way.",3213
"After all, isn't it not pitiable when one denies one's own feelings?","It is a difficult topic.",3000,"But the outcome is clear.",0000,"It's mature to admit defeat.",0302
"After confronting me like this... Are you that kind of human too?","That's not my style.",2300,"What's wrong with that?",0130,"So what?",3300
"Ah, it's a shame. If I'd taken this seriously from the start, I wouldn't be in this sorry state.","Then get serious now.",3200,"Making excuses?",2300,"I wasn't trying either.",1233
"Ain't people your age suppose'ta be out on dates and stuff instead?","Right after this, kid.",0023,"Such a rude little boy...",0202,"Dating's not important.",3333
"And if that's the case, why don't you just stop this futile endeavor? It's meaningless...","You have a point there...",0000,"I can't stop.",0300,"I'll find meaning in it.",0003
"Are all the kids these days doin' stuff like this?","Yeah, we sure are.",1330,"No, I thought this up myself.",2323,"Want to join in?",2130
"Are you bored?","Yes, I'm bored.",0200,"I'm actually pretty busy.",0303,"I never thought about it.",3320
"Are you fighting to help or protect the world or something?","That's right.",0020,"I won't tell you.",3000,"It pays the bills.",1003
"As far as you're concerned, what kind of person was I to you?","My rival.",2332,"Nobody, really.",1113,"It doesn't matter.",3220
"...But be-hee-fore all that, let's enjoy a little chat, ho!","All right, I suppose.",3000,"There's no need for that.",0000,"[...]",0000
"But before you do, do something funny. What can you do?","Impressions.",0300,"Making funny faces.",0130,"Nothing.",3000
"But is it fair to my kind if only I find such happiness, leaving them all behind?","I think so.",2100,"They can all come.",0003,"Your kind?",1000
"But I've been around the block, so I know--there's something else you want from me, isn't there?","Nope.",0300,"I just love the elderly.",0033,"I just want you to die happy.",3100
"But I've got a catch phrase that I'm famous for.","Hee-ho!",0002,"Hee-haw!",0003,"Personaaa!",0000
"But this way of life in this world is all I've ever known.","It's not meaningless.",3332,"There are other ways to live.",2202,"You had a good run.",3003
"But what if I ripped your body apart? ...What color blood would come pouring out?","Red.",0331,"Green.",0213,"I don't bleed or cry.",3110
"Can you sacrifice yourself in order to demonstrate your adoration of our Father?","I can.",0000,"I can't.",0000,"I don't adore him.",0300
"Can you sacrifice yourself in order to demonstrate your veneration of our Father?","I can certainly try.",2033,"No can do.",2300,"What's veneration?",0203
"Care to explain yourself? I certainly hope you have a good reason for this boorish treatment.","That would take a while.",2133,"There's no need to explain.",3210,"Just shut up...",0302
"C'mon, what's with the mask? Kinda cringy, don'tcha think?","Sure is.",3232,"Shut up...",3102,"I'm secretly a kid.",2323
"Confess your sins.","I apologize.",0000,"I think... I was wrong.",0000,"No chance.",0300
"Could this be what humans call a proposal...?","I'm surprised you knew.",1203,"No, it's not.",1300,"That's a myth.",3100
"Couldn't ya at least make me a cup of tea or somethin'? Hell, that'd be real polite.","So sorry.",0231,"Brew your own.",0303,"I'm not known for being polite.",3301
"Did I just see your hand shaking? Isn't your guilt tormenting you?","It's just a chill.",1000,"Yeah, I can't take it...",2003,"Shut up.",3000
"Did I... lose?","Yup...",2102,"Not sure yet.",3300,"Nah, you totally won.",1133
"Didn't you feel like that when you were a kid, too?","It's not so bad-olescent.",3220,"Being a kid is tough.",2333,"I don't remember.",3000
"Do you have a dish you're good at?","Fried rice.",2003,"Mystery meat.",1003,"What are you saying?",3000
"Do you have a lot of friends? Ever feel like the things they do are annoying?","Sometimes.",0232,"No.",2000,"I have no friends.",0303
"Do you know what I speak of?","Sin...?",0103,"Please tell me.",0230,"I've done nothing wrong.",0300
"Do you seek friendly competition with a beloved neighbor? Or have you come to destroy a hated foe?","You're a beloved neighbor.",0333,"You're a loathsome foe.",0200,"You sound preachy.",3103
"Do you...think of me as a charlatan?","I don't think that.",1000,"I think of you as a foe.",0000,"You're not one?",0000
"Do you think they really mean it all the time?","Yes.",0320,"No, but they say it anyway.",0030,"I'm cuter than most kids.",3003
"Doesn't what you're doing bother your conscience?","Now that you mention it...",3030,"...Nope",0300,"I'm past such things.",0000
"Don't take this the wrong way, but man... Bein' a carefree kid sure must be nice.","I want to be a kid forever.",1232,"I prefer being an adult.",2300,"I wish I was still a baby.",1003
"Don't you think expecting your would-be victim to be receptive to your words is unreasonable?","I do.",2320,"I don't.",0300,"Don't worry about it.",3033
"Don't you think it's sad that slang and sayings can grow old and get outdated?","That is sad.",1000,"I don't think so.",0300,"That just proves you're old.",3000
"For you to force me to prostrate myself, as one who only seeks your well-being... Is there anything more irrational?","My apologies.",2000,"I don't want salvation.",0300,"Shut up.",0100
"Guess what I want you to read me before you tuck me into bed!","An animal book",3031,"A story about a Yakuza",0103,"I have no idea",0300
"Had I known things would turn out like this, I'd wish I had found the courage to ask that girl out...","It's not too late.",3031,"You never had a chance.",1300,"I'll make sure she's happy.",2003
"Have you made an appointment, ho?","I have.",2003,"That's not it.",0001,"Just tell me what you know.",0000
"...Heed my words. I am not the one you should detest.","You're right.",0300,"That's absurd.",0002,"I'll be the judge of that.",0003
"Hell, I got all sortsa girls lined up if you're into that.","Really?",2133,"You're trying way too hard.",1222,"I'm not interested.",3311
"Hey. Aren't you hungry? Can we take a break and go eat somewhere?","What're we getting?",0003,"Yeah.",0030,"Now's not the time.",0303
"Hey, how about this? If you don't shoot me, then I'll kiss you. Not a bad deal, right?","Not a bad idea.",2033,"I don't want a kiss.",1002,"Have some self-respect.",3301
"Hey, if I don't die here, what do you think I'll be like in the future?","A fashionable older woman.",0333,"I can't measure that.",0022,"Living in darkness.",3000
"Hey, if ya got any medicine, lend me some. One of them painkillers...","Are you okay?",3032,"I have some antacids.",1003,"That won't change anything.",3300
"Hey, if you got any medicine, lend me some. They're supposed ta work miracles, right...?","Are you OK?",0000,"What kind of medicine?",3000,"That won't change anything?",3300
"Hey, is my hair flat? Does it look weird?","It looks cute.",0030,"It's weird looking.",0000,"Who cares?",0000
"Hey, let's play a game! Guess what I wanna eat!","Hamburgers.",0033,"Curry.",0020,"Shut up.",0300
"Hey, mister, will you give me a yummy snack to eat?","Later.",3033,"No way.",0300,"What would you like?",0222
"Hey. So whaddya feel when you think about the future?","An average level of happiness.",0332,"Live fast, die young.",0003,"Nothing.",3022
"Hey, sonny if somethin's been botherin' you. I'm willin' ta give you a listen.","My relationships...",0331,"I smell sweaty.",0110,"I have no worries.",3000
"...Hey, there's no need for all this, right? Let's drop the drama and just go get something to eat. The thought has crossed your mind, hasn't it? Come on, where would you take me?","An expensive French restaurant.",1000,"A busy ramen joint.",2000,"Where would you like to go?",3000
"Hey. Why aren't ya at school?","It's after school.",2322,"I don't feel like going.",3233,"I actually finished school.",0203
"Honestly, aren't I, like, a way better girl than those idols?","You're more unique.",0100,"Not really...",0000,"Who cares about idols?",3300
"How about we live together? What kind of place do you want to live in?","I can't live with you.",1300,"Next to a convenience store.",2003,"What are you talking about?",3200
"How 'bout we have an interview? You're the winner, after all. I'll listen to whatever you gotta say.","I feel great.",0313,"I want to aim higher.",0322,"Fighting is pointless.",3031
"How 'bout you, sonny? What kinda trip do you wanna take?","A luxury cruise.",1303,"Don't want to go anywhere.",3132,"A trip to hell.",2100
"How 'bout you? You wanna get married someday?","I do.",2302,"I don't.",0111,"That's impossible.",3001
"How can you do such terrible things to a cute hee-ho like me!?","I'm sorry.",0030,"Now that you mention it...",3002,"...Cute?",0000
"How did I lose to you? I mean... I win when it comes to looks, ho.","You're right.",0002,"No, I do.",0003,"It's all about heart.",0000
"How did you find out about me, ho?","Some flyers.",3000,"A speciatly site.",0033,"Word of mouth.",0032
"Humans always want either an autograph or a self-hee, ho. Which is it, ho?","I want an autograph.",2020,"I want a photo.",3032,"Give me your credit card.",3001
"Humans talk over drinks, right? How 'bout it? Hell, let me buy ya a round, sonny.","Quit messing around.",0311,"You're really paying?",0003,"I'm a minor.",3301
"I also have loved ones who would miss me. You do catch my meaning, yes?","I do now.",1032,"That doesn't matter.",0302,"I'm always alone.",3000
"I can't sadden my fans, ho. ...You catch my drift, don't you?","I'm rooting for you.",0033,"Tell me.",0000,"You have no fans.",0000
"I coulda been a star...","A star?",3232,"That's not happening.",0301,"Are you giving up?",3233
"I don't hate you. No, I don't feel that way at all...","Is that so?",3000,"Too late.",0300,"Then let's hold hands.",0133
"I fear neither death, nor you.","In your situation?",0003,"You're tough.",0330,"Don't push yourself.",0032
"...I gotta ask. How do you work out?","I don't really train.",3302,"I just have a knack for it.",2131,"At a gym from hell.",0123
"I guess women are really more social these days, finding so many fun things to do outside the home.","That's so true.",2330,"Men are social too.",2300,"Is that so?",3000
"I insist you surrender yourself to the authorities.","This is a misunderstanding.",2332,"I apologize.",1132,"You've got the wrong idea.",3223
"I know when I'm gettin' all sweaty. I'm glistenin', ain't I?","Like a disco ball.",2332,"Not at all.",1133,"Why does that matter?",3222
"I lost. Here I lay, at your feet, at your mercy. Just what do you want from me?","Give me something.",2333,"Grovel before me.",0301,"I don't know.",3100
"I mean, how does it feel to wave your gun at an enemy who's completely lost the will to fight?","It's not bad.",2300,"...I could get used to it.",2003,"It pains my heart...",2030
"I need to recover, ho. Don't you feel that way too?","Yeah, sometimes.",0033,"Battle is what soothes me.",0000,"Quit whining.",0000
"I occasionally wish to pamper myself as a reward for working hard. How would you do that?","Relax at home.",1232,"Go impulse shopping.",0203,"Don't be so selfish.",3100
"I suppose it makes no difference if you kill me or if I die just a little bit later, dearie.","That's right",0300,"That isn't true",1000,"That's still a long ways off",0000
"I suppose that's why I feel so confused, child. After all, why am I being treated like this?","Because you resisted.",2322,"It can't be helped.",1003,"It's for your own good.",1000
"I suppose this ""real world"" where you come from must be fairly boring.","You're right.",3230,"It keeps me busy.",2302,"It's better than here.",2003
"I think dying alone isn't so bad, dearie, but isn't living alone in the first place the real tragedy?","I don't think so.",0000,"Maybe you're right.",3200,"Being alone is a luxury.",0003
"I think the way you're treating me is ""overfamiliar."" I think...","We are friends.",0303,"What's wrong with that?",1000,"It's because you're cute.",3000
"I wanted to go on vacation, too, before all this happened...","That's too bad.",1332,"What are you getting at?",3203,"You have a boyfriend?",2003
